Date,AAPL
31/12/1990,1.5357
01/01/1991,1.5357
02/01/1991,1.5536
03/01/1991,1.5357
04/01/1991,1.5446
07/01/1991,1.5446
08/01/1991,1.5446
09/01/1991,1.6161
10/01/1991,1.683
11/01/1991,1.6786
14/01/1991,1.6518
15/01/1991,1.6696
16/01/1991,1.7768
17/01/1991,1.8304
18/01/1991,1.7946
21/01/1991,1.8125
22/01/1991,1.8304
23/01/1991,1.8482
24/01/1991,1.8616
25/01/1991,1.9107
28/01/1991,1.9464
29/01/1991,1.9196
30/01/1991,1.9821
31/01/1991,1.9821
01/02/1991,1.9911
04/02/1991,1.9732
05/02/1991,2.0625
06/02/1991,2.0313
07/02/1991,2.0625
08/02/1991,2.1384
11/02/1991,2.192
12/02/1991,2.1429
13/02/1991,2.1429
14/02/1991,2.0402
15/02/1991,2.058
18/02/1991,2.058
19/02/1991,2.1429
20/02/1991,2.1786
21/02/1991,2.1071
22/02/1991,2.1339
25/02/1991,2.0714
26/02/1991,2.0804
27/02/1991,2.0804
28/02/1991,2.0446
01/03/1991,2.0625
04/03/1991,2.0848
05/03/1991,2.2545
06/03/1991,2.25
07/03/1991,2.4018
08/03/1991,2.3214
11/03/1991,2.2679
12/03/1991,2.2455
13/03/1991,2.3661
14/03/1991,2.3393
15/03/1991,2.3661
18/03/1991,2.4196
19/03/1991,2.4821
20/03/1991,2.4196
21/03/1991,2.3125
22/03/1991,2.2589
25/03/1991,2.3036
26/03/1991,2.5
27/03/1991,2.4732
28/03/1991,2.4286
29/03/1991,2.4286
01/04/1991,2.4464
02/04/1991,2.5982
03/04/1991,2.5
04/04/1991,2.5536
05/04/1991,2.4777
08/04/1991,2.5
09/04/1991,2.4554
10/04/1991,2.3884
11/04/1991,2.5357
12/04/1991,2.5625
15/04/1991,2.2232
16/04/1991,2.2946
17/04/1991,2.2589
18/04/1991,2.1786
19/04/1991,2.1295
22/04/1991,2.1964
23/04/1991,2.1964
24/04/1991,2.1696
25/04/1991,2.0893
26/04/1991,2.0938
29/04/1991,2.0804
30/04/1991,1.9643
01/05/1991,1.6875
02/05/1991,1.75
03/05/1991,1.75
06/05/1991,1.7946
07/05/1991,1.808
08/05/1991,1.7768
09/05/1991,1.8125
10/05/1991,1.8304
13/05/1991,1.8839
14/05/1991,1.9107
15/05/1991,1.8036
16/05/1991,1.75
17/05/1991,1.6786
20/05/1991,1.5804
21/05/1991,1.6161
22/05/1991,1.6518
23/05/1991,1.625
24/05/1991,1.6384
27/05/1991,1.6384
28/05/1991,1.6429
29/05/1991,1.6786
30/05/1991,1.7009
