Date,AAPL
31/12/1990,1.5357
31/01/1991,1.9821
28/02/1991,2.0446
29/03/1991,2.4286
30/04/1991,1.9643
31/05/1991,1.6786
28/06/1991,1.4821
31/07/1991,1.6518
30/08/1991,1.8929
30/09/1991,1.7679
31/10/1991,1.8393
29/11/1991,1.8125
31/12/1991,2.0134
31/01/1992,2.3125
28/02/1992,2.4107
31/03/1992,2.0804
30/04/1992,2.1473
29/05/1992,2.1339
30/06/1992,1.7143
31/07/1992,1.6696
31/08/1992,1.6429
30/09/1992,1.6116
30/10/1992,1.875
30/11/1992,2.0536
31/12/1992,2.1339
29/01/1993,2.125
26/02/1993,1.8929
31/03/1993,1.8393
30/04/1993,1.8304
31/05/1993,2.0223
30/06/1993,1.4107
30/07/1993,0.9911
31/08/1993,0.9464
30/09/1993,0.8348
29/10/1993,1.0982
30/11/1993,1.125
31/12/1993,1.0446
31/01/1994,1.1696
28/02/1994,1.3036
31/03/1994,1.1875
29/04/1994,1.0714
31/05/1994,1.0446
30/06/1994,0.9464
29/07/1994,1.2031
31/08/1994,1.2924
30/09/1994,1.2031
31/10/1994,1.5424
30/11/1994,1.3304
30/12/1994,1.3929
31/01/1995,1.442
28/02/1995,1.4107
31/03/1995,1.2589
28/04/1995,1.3661
31/05/1995,1.4844
30/06/1995,1.6585
31/07/1995,1.6071
31/08/1995,1.5357
29/09/1995,1.3304
31/10/1995,1.2969
30/11/1995,1.3616
29/12/1995,1.1384
31/01/1996,0.9866
29/02/1996,0.9821
29/03/1996,0.8772
30/04/1996,0.8705
31/05/1996,0.933
28/06/1996,0.75
31/07/1996,0.7857
30/08/1996,0.8661
30/09/1996,0.7924
31/10/1996,0.8214
29/11/1996,0.8616
31/12/1996,0.7455
31/01/1997,0.5938
28/02/1997,0.5804
31/03/1997,0.6518
30/04/1997,0.6071
30/05/1997,0.5938
30/06/1997,0.5089
31/07/1997,0.625
29/08/1997,0.7768
30/09/1997,0.7746
31/10/1997,0.6083
28/11/1997,0.6339
31/12/1997,0.4688
30/01/1998,0.654
27/02/1998,0.8438
31/03/1998,0.9821
30/04/1998,0.9777
29/05/1998,0.9509
30/06/1998,1.0246
31/07/1998,1.2366
31/08/1998,1.1138
30/09/1998,1.3616
30/10/1998,1.3259
30/11/1998,1.1406
31/12/1998,1.4621
29/01/1999,1.471
26/02/1999,1.2433
31/03/1999,1.2835
30/04/1999,1.6429
31/05/1999,1.5737
30/06/1999,1.654
30/07/1999,1.9888
31/08/1999,2.3304
30/09/1999,2.2612
29/10/1999,2.8616
30/11/1999,3.4955
31/12/1999,3.6719
31/01/2000,3.7054
29/02/2000,4.0938
31/03/2000,4.8504
28/04/2000,4.4308
31/05/2000,3
30/06/2000,3.7411
31/07/2000,3.6295
31/08/2000,4.3527
29/09/2000,1.8393
31/10/2000,1.3973
30/11/2000,1.1786
29/12/2000,1.0625
31/01/2001,1.5446
28/02/2001,1.3036
30/03/2001,1.5764
30/04/2001,1.8207
31/05/2001,1.425
29/06/2001,1.6607
31/07/2001,1.3421
31/08/2001,1.325
28/09/2001,1.1079
31/10/2001,1.2543
30/11/2001,1.5214
31/12/2001,1.5643
31/01/2002,1.7657
28/02/2002,1.55
29/03/2002,1.6907
30/04/2002,1.7336
31/05/2002,1.6643
28/06/2002,1.2657
31/07/2002,1.09
30/08/2002,1.0536
30/09/2002,1.0357
31/10/2002,1.1479
29/11/2002,1.1071
31/12/2002,1.0236
31/01/2003,1.0257
28/02/2003,1.0721
31/03/2003,1.01
30/04/2003,1.0157
30/05/2003,1.2821
30/06/2003,1.3614
31/07/2003,1.5057
29/08/2003,1.615
30/09/2003,1.48
31/10/2003,1.635
28/11/2003,1.4936
31/12/2003,1.5264
30/01/2004,1.6114
27/02/2004,1.7086
31/03/2004,1.9314
30/04/2004,1.8414
31/05/2004,2.0043
30/06/2004,2.3243
30/07/2004,2.31
31/08/2004,2.4636
30/09/2004,2.7679
29/10/2004,3.7429
30/11/2004,4.7893
31/12/2004,4.6
31/01/2005,5.4929
28/02/2005,6.4086
31/03/2005,5.9529
29/04/2005,5.1514
31/05/2005,5.68
30/06/2005,5.2586
29/07/2005,6.0929
31/08/2005,6.6986
30/09/2005,7.6586
31/10/2005,8.2271
30/11/2005,9.6886
30/12/2005,10.27
