Date,TSLA
31/12/1990,NA
31/01/1991,NA
28/02/1991,NA
29/03/1991,NA
30/04/1991,NA
31/05/1991,NA
28/06/1991,NA
31/07/1991,NA
30/08/1991,NA
30/09/1991,NA
31/10/1991,NA
29/11/1991,NA
31/12/1991,NA
31/01/1992,NA
28/02/1992,NA
31/03/1992,NA
30/04/1992,NA
29/05/1992,NA
30/06/1992,NA
31/07/1992,NA
31/08/1992,NA
30/09/1992,NA
30/10/1992,NA
30/11/1992,NA
31/12/1992,NA
29/01/1993,NA
26/02/1993,NA
31/03/1993,NA
30/04/1993,NA
31/05/1993,NA
30/06/1993,NA
30/07/1993,NA
31/08/1993,NA
30/09/1993,NA
29/10/1993,NA
30/11/1993,NA
31/12/1993,NA
31/01/1994,NA
28/02/1994,NA
31/03/1994,NA
29/04/1994,NA
31/05/1994,NA
30/06/1994,NA
29/07/1994,NA
31/08/1994,NA
30/09/1994,NA
31/10/1994,NA
30/11/1994,NA
30/12/1994,NA
31/01/1995,NA
28/02/1995,NA
31/03/1995,NA
28/04/1995,NA
31/05/1995,NA
30/06/1995,NA
31/07/1995,NA
31/08/1995,NA
29/09/1995,NA
31/10/1995,NA
30/11/1995,NA
29/12/1995,NA
31/01/1996,NA
29/02/1996,NA
29/03/1996,NA
30/04/1996,NA
31/05/1996,NA
28/06/1996,NA
31/07/1996,NA
30/08/1996,NA
30/09/1996,NA
31/10/1996,NA
29/11/1996,NA
31/12/1996,NA
31/01/1997,NA
28/02/1997,NA
31/03/1997,NA
30/04/1997,NA
30/05/1997,NA
30/06/1997,NA
31/07/1997,NA
29/08/1997,NA
30/09/1997,NA
31/10/1997,NA
28/11/1997,NA
31/12/1997,NA
30/01/1998,NA
27/02/1998,NA
31/03/1998,NA
30/04/1998,NA
29/05/1998,NA
30/06/1998,NA
31/07/1998,NA
31/08/1998,NA
30/09/1998,NA
30/10/1998,NA
30/11/1998,NA
31/12/1998,NA
29/01/1999,NA
26/02/1999,NA
31/03/1999,NA
30/04/1999,NA
31/05/1999,NA
30/06/1999,NA
30/07/1999,NA
31/08/1999,NA
30/09/1999,NA
29/10/1999,NA
30/11/1999,NA
31/12/1999,NA
31/01/2000,NA
29/02/2000,NA
31/03/2000,NA
28/04/2000,NA
31/05/2000,NA
30/06/2000,NA
31/07/2000,NA
31/08/2000,NA
29/09/2000,NA
31/10/2000,NA
30/11/2000,NA
29/12/2000,NA
31/01/2001,NA
28/02/2001,NA
30/03/2001,NA
30/04/2001,NA
31/05/2001,NA
29/06/2001,NA
31/07/2001,NA
31/08/2001,NA
28/09/2001,NA
31/10/2001,NA
30/11/2001,NA
31/12/2001,NA
31/01/2002,NA
28/02/2002,NA
29/03/2002,NA
30/04/2002,NA
31/05/2002,NA
28/06/2002,NA
31/07/2002,NA
30/08/2002,NA
30/09/2002,NA
31/10/2002,NA
29/11/2002,NA
31/12/2002,NA
31/01/2003,NA
28/02/2003,NA
31/03/2003,NA
30/04/2003,NA
30/05/2003,NA
30/06/2003,NA
31/07/2003,NA
29/08/2003,NA
30/09/2003,NA
31/10/2003,NA
28/11/2003,NA
31/12/2003,NA
30/01/2004,NA
27/02/2004,NA
31/03/2004,NA
30/04/2004,NA
31/05/2004,NA
30/06/2004,NA
30/07/2004,NA
31/08/2004,NA
30/09/2004,NA
29/10/2004,NA
30/11/2004,NA
31/12/2004,NA
31/01/2005,NA
28/02/2005,NA
31/03/2005,NA
29/04/2005,NA
31/05/2005,NA
30/06/2005,NA
29/07/2005,NA
31/08/2005,NA
30/09/2005,NA
31/10/2005,NA
30/11/2005,NA
30/12/2005,NA
31/01/2006,NA
28/02/2006,NA
31/03/2006,NA
28/04/2006,NA
31/05/2006,NA
30/06/2006,NA
31/07/2006,NA
31/08/2006,NA
29/09/2006,NA
31/10/2006,NA
30/11/2006,NA
29/12/2006,NA
31/01/2007,NA
28/02/2007,NA
30/03/2007,NA
30/04/2007,NA
31/05/2007,NA
29/06/2007,NA
31/07/2007,NA
31/08/2007,NA
28/09/2007,NA
31/10/2007,NA
30/11/2007,NA
31/12/2007,NA
31/01/2008,NA
29/02/2008,NA
31/03/2008,NA
30/04/2008,NA
30/05/2008,NA
30/06/2008,NA
31/07/2008,NA
29/08/2008,NA
30/09/2008,NA
31/10/2008,NA
28/11/2008,NA
31/12/2008,NA
30/01/2009,NA
27/02/2009,NA
31/03/2009,NA
30/04/2009,NA
29/05/2009,NA
30/06/2009,NA
31/07/2009,NA
31/08/2009,NA
30/09/2009,NA
30/10/2009,NA
30/11/2009,NA
31/12/2009,NA
29/01/2010,NA
26/02/2010,NA
31/03/2010,NA
30/04/2010,NA
31/05/2010,NA
30/06/2010,23.83
30/07/2010,19.94
31/08/2010,19.48
30/09/2010,20.405
29/10/2010,21.84
30/11/2010,35.33
31/12/2010,26.63
31/01/2011,24.1
28/02/2011,23.89
31/03/2011,27.75
29/04/2011,27.6
31/05/2011,30.14
30/06/2011,29.13
29/07/2011,28.17
31/08/2011,24.74
30/09/2011,24.39
31/10/2011,29.37
30/11/2011,32.74
30/12/2011,28.56
31/01/2012,29.07
29/02/2012,33.41
30/03/2012,37.24
30/04/2012,33.13
31/05/2012,29.5
29/06/2012,31.29
31/07/2012,27.42
31/08/2012,28.52
28/09/2012,29.28
31/10/2012,28.1314
30/11/2012,33.82
31/12/2012,33.87
31/01/2013,37.51
28/02/2013,34.83
29/03/2013,37.89
30/04/2013,53.99
31/05/2013,97.76
28/06/2013,107.36
31/07/2013,134.28
30/08/2013,169
30/09/2013,193.37
31/10/2013,159.94
29/11/2013,127.28
31/12/2013,150.429
31/01/2014,181.41
28/02/2014,244.81
31/03/2014,208.45
30/04/2014,207.89
30/05/2014,207.77
30/06/2014,240.06
31/07/2014,223.3
29/08/2014,269.7
30/09/2014,242.68
31/10/2014,241.7
28/11/2014,244.52
31/12/2014,222.41
30/01/2015,203.6
27/02/2015,203.34
31/03/2015,188.77
30/04/2015,226.05
29/05/2015,250.8
30/06/2015,268.26
31/07/2015,266.1499
31/08/2015,249.06
30/09/2015,248.4
30/10/2015,206.93
30/11/2015,230.26
31/12/2015,240.01
29/01/2016,191.2
29/02/2016,191.93
31/03/2016,229.77
29/04/2016,240.76
31/05/2016,223.23
30/06/2016,212.28
29/07/2016,234.79
31/08/2016,212.01
30/09/2016,204.03
31/10/2016,197.73
30/11/2016,189.4
30/12/2016,213.69
31/01/2017,251.93
28/02/2017,249.99
31/03/2017,278.3
28/04/2017,314.0701
31/05/2017,341.01
30/06/2017,361.6101
31/07/2017,323.47
31/08/2017,355.8999
29/09/2017,341.1001
31/10/2017,331.53
30/11/2017,308.8501
29/12/2017,311.3501
31/01/2018,354.3101
28/02/2018,343.0601
30/03/2018,266.1299
30/04/2018,293.8999
31/05/2018,284.73
29/06/2018,342.95
31/07/2018,298.1399
31/08/2018,301.6599
28/09/2018,264.77
31/10/2018,337.3201
30/11/2018,350.48
31/12/2018,332.8
31/01/2019,307.02
28/02/2019,319.8799
29/03/2019,279.8601
30/04/2019,238.69
